date	price	market_cap	total_volume	price_change_pct	market_cap_b	volume_b	year	month	month_name	quarter	day_of_week	ma_7	ma_30	ma_90	volatility_30d
8/7/2015	0.000710026	85203.09834	10067.00134		8.52E-05	1.01E-05	2015	8	Aug	3	Friday				
8/8/2015	0.000706816	84817.95269	2788.267364	-0.452032449	8.48E-05	2.79E-06	2015	8	Aug	3	Saturday				
8/9/2015	0.000726093	87131.1773	8728.743605	2.727281829	8.71E-05	8.73E-06	2015	8	Aug	3	Sunday				
8/10/2015	0.000772475	92696.98636	13253.52854	6.387850169	9.27E-05	1.33E-05	2015	8	Aug	3	Monday				
8/11/2015	0.000766039	91924.70586	4681.643645	-0.833123627	9.19E-05	4.68E-06	2015	8	Aug	3	Tuesday				
8/12/2015	0.000759658	91158.91928	7894.174521	-0.833058503	9.12E-05	7.89E-06	2015	8	Aug	3	Wednesday				
8/13/2015	0.000810002	97200.20901	3982.354676	6.627206392	9.72E-05	3.98E-06	2015	8	Aug	3	Thursday	0.000750158			
8/14/2015	0.000836088	100330.5516	10542.91792	3.220510159	0.000100331	1.05E-05	2015	8	Aug	3	Friday	0.000768167			
8/15/2015	0.000821355	98562.54049	9468.292342	-1.762186194	9.86E-05	9.47E-06	2015	8	Aug	3	Saturday	0.00078453			
8/16/2015	0.000840214	100825.7397	7953.523828	2.296206252	0.000100826	7.95E-06	2015	8	Aug	3	Sunday	0.000800833			
8/17/2015	0.000825608	99073.00172	9170.716437	-1.738383459	9.91E-05	9.17E-06	2015	8	Aug	3	Monday	0.000808423			
8/18/2015	0.000811181	97341.73023	13393.14733	-1.747470512	9.73E-05	1.34E-05	2015	8	Aug	3	Tuesday	0.000814872			
8/19/2015	0.00081989	98386.76276	5269.134197	1.073570943	9.84E-05	5.27E-06	2015	8	Aug	3	Wednesday	0.000823477			
8/20/2015	0.000760243	91229.20358	2983.901199	-7.274920922	9.12E-05	2.98E-06	2015	8	Aug	3	Thursday	0.000816368			
8/21/2015	0.000710268	85232.11907	11369.94646	-6.573645578	8.52E-05	1.14E-05	2015	8	Aug	3	Friday	0.000798394			
8/22/2015	0.000695166	83419.89633	8279.762552	-2.126220444	8.34E-05	8.28E-06	2015	8	Aug	3	Saturday	0.000780367			
8/23/2015	0.000668233	80187.97782	10976.05139	-3.874277777	8.02E-05	1.10E-05	2015	8	Aug	3	Sunday	0.000755798			
8/24/2015	0.000677363	81283.53662	8261.12437	1.366238219	8.13E-05	8.26E-06	2015	8	Aug	3	Monday	0.000734621			
8/25/2015	0.000653855	78462.63557	9981.96399	-3.470445764	7.85E-05	9.98E-06	2015	8	Aug	3	Tuesday	0.000712145			
8/26/2015	0.00061856	74227.17948	6054.028408	-5.398054826	7.42E-05	6.05E-06	2015	8	Aug	3	Wednesday	0.000683384			
8/27/2015	0.000656564	78787.65595	9453.194431	6.143944166	7.88E-05	9.45E-06	2015	8	Aug	3	Thursday	0.000668573			
8/28/2015	0.000651312	78157.44221	10908.04155	-0.799888928	7.82E-05	1.09E-05	2015	8	Aug	3	Friday	0.00066015			
8/29/2015	0.000653727	78447.2489	7739.194171	0.370798582	7.84E-05	7.74E-06	2015	8	Aug	3	Saturday	0.000654231			
8/30/2015	0.000618131	74175.69107	3834.45435	-5.445134007	7.42E-05	3.83E-06	2015	8	Aug	3	Sunday	0.000647073			
8/31/2015	0.000605421	72650.5655	4522.912814	-2.0560989	7.27E-05	4.52E-06	2015	8	Aug	3	Monday	0.000636796			
9/1/2015	0.000608722	73046.63534	3932.637217	0.545171037	7.30E-05	3.93E-06	2015	9	Sep	3	Tuesday	0.000630348			
9/2/2015	0.000581914	69829.62414	4163.440739	-4.404051171	6.98E-05	4.16E-06	2015	9	Sep	3	Wednesday	0.000625113			
9/3/2015	0.000591316	70957.86535	4737.846304	1.615705686	7.10E-05	4.74E-06	2015	9	Sep	3	Thursday	0.000615792			
9/4/2015	0.000577856	69342.68818	6699.616934	-2.276248262	6.93E-05	6.70E-06	2015	9	Sep	3	Friday	0.000605298			
9/5/2015	0.000571724	68606.88935	6899.03988	-1.061105134	6.86E-05	6.90E-06	2015	9	Sep	3	Saturday	0.000593583	0.000703527		
9/6/2015	0.000558686	67042.36232	5442.49694	-2.280422627	6.70E-05	5.44E-06	2015	9	Sep	3	Sunday	0.000585091	0.000698483		3.564591523
9/7/2015	0.000602254	72270.4853	7505.32557	7.798238012	7.23E-05	7.51E-06	2015	9	Sep	3	Monday	0.000584639	0.000694997		3.890485775
9/8/2015	0.000602531	72303.7454	2876.89308	0.046021688	7.23E-05	2.88E-06	2015	9	Sep	3	Tuesday	0.000583754	0.000690878		3.845289892
9/9/2015	0.000578149	69377.83904	2812.202153	-4.046687137	6.94E-05	2.81E-06	2015	9	Sep	3	Wednesday	0.000583217	0.000684401		3.663852599
9/10/2015	0.000598085	71770.19588	3632.97396	3.448301187	7.18E-05	3.63E-06	2015	9	Sep	3	Thursday	0.000584184	0.000678802		3.748810036
9/11/2015	0.00057015	68417.97242	6306.036609	-4.670773744	6.84E-05	6.31E-06	2015	9	Sep	3	Friday	0.000583083	0.000672486		3.816473273
9/12/2015	0.000575508	69060.99424	3845.27206	0.93984343	6.91E-05	3.85E-06	2015	9	Sep	3	Saturday	0.000583623	0.000664669		3.563481176
9/13/2015	0.000532651	63918.14521	4090.385993	-7.446821592	6.39E-05	4.09E-06	2015	9	Sep	3	Sunday	0.000579904	0.000654555		3.651576733
9/14/2015	0.000505597	60671.60776	4734.663038	-5.079210978	6.07E-05	4.73E-06	2015	9	Sep	3	Monday	0.000566096	0.000644029		3.711799324
9/15/2015	0.000510104	61212.43108	7799.928832	0.891394411	6.12E-05	7.80E-06	2015	9	Sep	3	Tuesday	0.000552892	0.000633026		3.670396655
9/16/2015	0.000525922	63110.61335	1998.300148	3.100975141	6.31E-05	2.00E-06	2015	9	Sep	3	Wednesday	0.000545431	0.000623036		3.768428187
9/17/2015	0.000530069	63608.28223	6864.953019	0.788566058	6.36E-05	6.86E-06	2015	9	Sep	3	Thursday	0.000535714	0.000613666		3.789286418
9/18/2015	0.000528151	63378.0606	6988.393496	-0.361936554	6.34E-05	6.99E-06	2015	9	Sep	3	Friday	0.000529714	0.000603941		3.766773671
9/19/2015	0.00052235	62681.95495	7887.815326	-1.098338512	6.27E-05	7.89E-06	2015	9	Sep	3	Saturday	0.00052212	0.000596011		3.598874562
9/20/2015	0.000492846	59141.49108	8393.972687	-5.648298424	5.91E-05	8.39E-06	2015	9	Sep	3	Sunday	0.000516434	0.000588764		3.554752307
9/21/2015	0.000479336	57520.35922	1864.611133	-2.741107525	5.75E-05	1.86E-06	2015	9	Sep	3	Monday	0.000512682	0.000581569		3.562341962
